sku,title,type,den,url,image,filename,folder
16421,Occoneechee Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/occoneechee-council-shoulder-patch-16421.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/1/6/16421.jpg,16421 - Occoneechee-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
16427,Old Hickory Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/old-hickory-council-shoulder-patch-16427.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/1/6/16427.jpg,16427 - Old-Hickory-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
619912,Old North State Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/old-north-state-council-shoulder-patch-619912.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/6/1/619912.jpg,619912 - Old-North-State-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
613552,Orange County Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/orange-county-council-shoulder-patch-613552.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/6/1/613552.jpg,613552 - Orange-County-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
657488,Oregon Trail Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/oregon-trail-council-shoulder-patch-657488.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/6/5/657488.jpg,657488 - Oregon-Trail-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
615009,Overland Trails Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/overland-trails-council-shoulder-patch-615009.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/6/1/615009.jpg,615009 - Overland-Trails-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
663108,Ozark Trails Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/ozark-trails-council-shoulder-patch-663108.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/6/6/663108_ozark_trails_council_patch.jpg,663108 - Ozark-Trails-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
648581,Pacific Harbors Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/pacific-harbors-council-shoulder-patch-648581.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/6/4/648581_f.jpg,648581 - Pacific-Harbors-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
16031,Pacific Skyline Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/pacific-skyline-council-shoulder-patch-16031.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/1/6/16031.jpg,16031 - Pacific-Skyline-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
16549,Palmetto Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/palmetto-council-shoulder-patch-16549.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/1/6/16549.jpg,16549 - Palmetto-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
663596,Parenting Through the Ranks - How to Raise Successful Scouts,loop,unknown,https://www.scoutshop.org/parenting-through-the-ranks-how-to-raise-successful-scouts-663596.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/6/6/663596_a_parent_s_guide_to_scouting.jpg,663596 - Parenting-Through-the-Ranks-How-to-Raise-Successful-Scouts.jpg,scout_awards_media\loops\unknown
661568,Past Council Chair Emblem,loop,unknown,https://www.scoutshop.org/past-council-chair-emblem-661568.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/6/6/661568_bsa_past_council_chair_emblem.jpg,661568 - Past-Council-Chair-Emblem.jpg,scout_awards_media\loops\unknown
657136,Pathway to the Rockies Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/pathway-to-the-rockies-council-shoulder-patch-657136.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/6/5/657136.jpg,657136 - Pathway-to-the-Rockies-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
664665,Piedmont Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/piedmont-council-shoulder-patch-664665.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/6/6/664665_csp_peidmont_cncl_nc_emblem.jpg,664665 - Piedmont-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
16304,Pine Burr Area Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/pine-burr-area-council-shoulder-patch-16304.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/1/6/16304.jpg,16304 - Pine-Burr-Area-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
610666,Pine Tree Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/pine-tree-council-shoulder-patch-610666.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/6/1/610666.jpg,610666 - Pine-Tree-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
16311,Pony Express Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/pony-express-council-shoulder-patch-16311.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/1/6/16311.jpg,16311 - Pony-Express-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
16651,Potawatomi Area Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/potawatomi-area-council-shoulder-patch-16651.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/1/6/16651.jpg,16651 - Potawatomi-Area-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
16117,Prairielands Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/prairielands-council-shoulder-patch-16117.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/1/6/16117.jpg,16117 - Prairielands-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
16644,Queens Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/queens-council-shoulder-patch-16644.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/1/6/16644.jpg,16644 - Queens-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
618668,Quivira Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/quivira-council-shoulder-patch-618668.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/6/1/618668.jpg,618668 - Quivira-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
